Aaosphaeria_arxii	GCF_010015735.1
Absidia_glauca	GCA_900079185.1
Absidia_repens	GCA_002105175.1
Acaromyces_ingoldii	GCF_003144295.1
Acaulospora_colombiana	GCA_910592055.1
Acaulospora_morrowiae	GCA_910591835.1
Acephala_macrosclerotiorum	GCA_014904845.1
Acidomyces_sp_richmondensis	GCA_001592465.1
Acremonium_chrysogenum	GCA_000769265.1
Actinomortierella_ambigua	GCA_016098155.1
Actinomortierella_wolfii	GCA_016098105.1
Agaricus_bisporus	GCF_000300575.1
Agrocybe_aegerita	GCA_902728275.1
Agrocybe_pediades	GCA_013053245.1
Akanthomyces_lecanii	GCA_001653215.1
Allomyces_macrogynus	GCA_000151295.1
Alternaria_alternata	GCF_001642055.1
Alternaria_arborescens	GCF_004154835.1
Alternaria_atra	GCF_907166805.1
Alternaria_burnsii	GCF_013036055.1
Alternaria_gaisen	GCA_004156025.2
Alternaria_panax	GCA_019702505.1
Alternaria_rosae	GCA_020736505.1
Alternaria_sp_MG1	GCA_003574525.1
Alternaria_tenuissima	GCA_004156035.1
Amanita_brunnescens	GCA_001691785.2
Amanita_inopinata	GCA_001691775.3
Amanita_muscaria	GCA_000827485.1
Amanita_polypyramis	GCA_001691755.2
Amanita_rubescens	GCA_015039365.1
Amanita_thiersii	GCA_002554575.1
Ambispora_gerdemannii	GCA_910591945.1
Ambispora_leptoticha	GCA_910591765.1
Amniculicola_lignicola	GCA_010015725.1
Amorphotheca_resinae	GCF_003019875.1
Ampelomyces_quisqualis	GCA_010094095.1
Amylocarpus_encephaloides	GCA_019669835.1
Anaeromyces_robustus	GCA_002104895.1
Anncaliia_algerae	GCA_000385855.2
Antrodiella_citrinella	GCA_004802725.1
Apiotrichum_porosum	GCF_003942205.1
Aplosporella_prunicola	GCF_010093885.1
Apophysomyces_ossiformis	GCA_014839865.1
Apophysomyces_sp_BC1015	GCA_016097715.1
Apophysomyces_sp_BC1021	GCA_016097735.1
Apophysomyces_sp_BC1034	GCA_016097755.1
Armillaria_gallica	GCA_002307695.1
Armillaria_ostoyae	GCA_900157425.1
Armillaria_solidipes	GCA_002307675.1
Arthrobotrys_entomopaga	GCA_012184315.1
Arthrobotrys_flagrans	GCA_004000055.1
Arthroderma_uncinatum	GCF_011692745.1
Arthromyces_matolae	GCA_018855395.1
Ascobolus_immersus	GCA_003788565.2
Ascochyta_lentis	GCA_004011705.1
Ascochyta_rabiei	GCF_004011695.1
Ascodesmis_nigricans	GCA_004786065.1
Ascoidea_rubescens	GCF_001661345.1
Ascosphaera_apis	GCA_001636715.1
Ashbya_aceris	GCA_000412225.2
Aspergillus_aculeatinus	GCF_003184765.1
Aspergillus_aculeatus	GCF_001890905.1
Aspergillus_alliaceus	GCF_009176365.1
Aspergillus_arachidicola	GCA_009193545.1
Aspergillus_avenaceus	GCA_009193465.1
Aspergillus_awamori	GCA_003850985.1
Aspergillus_bertholletiae	GCA_009193595.1
Aspergillus_bombycis	GCF_001792695.1
Aspergillus_brasiliensis	GCA_001889945.1
Aspergillus_brunneoviolaceus	GCF_003184695.1
Aspergillus_burnettii	GCA_013421405.2
Aspergillus_caelatus	GCF_009193585.1
Aspergillus_calidoustus	GCA_001511075.1
Aspergillus_campestris	GCF_002847485.1
Aspergillus_candidus	GCF_002847045.1
Aspergillus_carbonarius	GCA_001990825.1
Aspergillus_chevalieri	GCF_016861735.1
Aspergillus_clavatus	GCF_000002715.2
Aspergillus_coremiiformis	GCA_009193565.1
Aspergillus_costaricensis	GCF_003184835.1
Aspergillus_cristatus	GCA_001717485.1
Aspergillus_ellipticus	GCA_003184645.1
Aspergillus_eucalypticola	GCF_003184535.1
Aspergillus_felis	GCA_014281915.1
Aspergillus_fijiensis	GCF_003184825.1
Aspergillus_fischeri	GCA_016748045.1
Aspergillus_flavus	GCA_002443195.2
Aspergillus_fumigatiaffinis	GCA_012656285.1
Aspergillus_fumigatus	GCA_000002655.1
Aspergillus_glaucus	GCF_001890805.1
Aspergillus_hancockii	GCA_001696595.2
Aspergillus_heteromorphus	GCF_003184545.1
Aspergillus_hiratsukae	GCA_014281905.1
Aspergillus_homomorphus	GCF_003184865.1
Aspergillus_ibericus	GCF_003184845.1
Aspergillus_indologenus	GCA_003184685.1
Aspergillus_japonicus	GCF_003184785.1
Aspergillus_lentulus	GCF_010724455.1
Aspergillus_leporis	GCA_009176345.1
Aspergillus_luchuensis	GCF_016861625.1
Aspergillus_minisclerotigenes	GCA_009176455.1
Aspergillus_mulundensis	GCF_003369625.1
Aspergillus_nanangensis	GCA_015844325.1
Aspergillus_neoniger	GCF_003184625.1
Aspergillus_nidulans	GCA_000011425.1
Aspergillus_niger	GCA_000002855.2
Aspergillus_nomiae	GCF_001204775.2
Aspergillus_novofumigatus	GCF_002847465.1
Aspergillus_novoparasiticus	GCA_009176405.1
Aspergillus_ochraceoroseus	GCA_000986665.1
Aspergillus_oryzae	GCA_002007945.1
Aspergillus_parasiticus	GCA_009176385.1
Aspergillus_phoenicis	GCA_003344505.1
Aspergillus_piperis	GCF_003184755.1
Aspergillus_pseudocaelatus	GCA_009193665.1
Aspergillus_pseudonomiae	GCF_009193645.1
Aspergillus_pseudotamarii	GCF_009193445.1
Aspergillus_pseudoviridinutans	GCF_018340605.1
Aspergillus_puulaauensis	GCF_016861865.1
Aspergillus_rambellii	GCA_000986645.1
Aspergillus_ruber	GCF_000600275.1
Aspergillus_saccharolyticus	GCF_003184585.1
Aspergillus_sclerotialis	GCA_003589665.1
Aspergillus_sclerotiicarbonarius	GCA_003184635.1
Aspergillus_sclerotioniger	GCF_003184525.1
Aspergillus_sergii	GCA_009193525.1
Aspergillus_sp_HF37	GCA_003698115.1
Aspergillus_steynii	GCF_002849105.1
Aspergillus_sydowii	GCF_001890705.1
Aspergillus_taichungensis	GCA_002850765.1
Aspergillus_tamarii	GCA_009193485.1
Aspergillus_tanneri	GCF_003426965.1
Aspergillus_terreus	GCA_009014675.2
Aspergillus_thermomutatus	GCF_002237265.1
Aspergillus_transmontanensis	GCA_009193505.1
Aspergillus_tubingensis	GCF_013340325.1
Aspergillus_turcosus	GCA_002234965.2
Aspergillus_udagawae	GCF_001078395.1
Aspergillus_ustus	GCA_000812125.1
Aspergillus_uvarum	GCF_003184745.1
Aspergillus_vadensis	GCF_003184925.1
Aspergillus_versicolor	GCF_001890125.1
Aspergillus_violaceofuscus	GCA_003184705.1
Aspergillus_viridinutans	GCF_018404265.1
Aspergillus_welwitschiae	GCF_003344945.1
Aspergillus_wentii	GCF_001890725.1
Asterophora_parasitica	GCA_018282005.1
Astraeus_odoratus	GCA_016618355.2
Athelia_sp_TMB	GCA_014898675.1
Aulographum_hederae	GCA_010015705.1
Aureobasidium_melanogenum	GCA_019923975.1
Aureobasidium_mustum	GCA_903819665.1
Aureobasidium_namibiae	GCF_000721765.1
Aureobasidium_pullulans	GCA_004917105.1
Aureobasidium_sp_EXF-3399	GCA_019924955.1
Aureobasidium_subglaciale	GCF_000721755.1
Aureobasidium_uvarum	GCA_903853725.1
Aureobasidium_vineae	GCA_903819635.1
Auricularia_subglabra	GCF_000265015.1
Auriculariales_sp_MPI-PUGE-AT-0066	GCA_020744175.1
Auriculariopsis_ampla	GCA_007026445.1
Austropuccinia_psidii	GCA_000469055.2
Babjeviella_inositovora	GCF_001661335.1
Bacidia_gigantensis	GCF_019456465.1
Basidiobolus_meristosporus	GCA_002104905.1
Batrachochytrium_dendrobatidis	GCF_000203795.1
Batrachochytrium_salamandrivorans	GCA_020617735.1
Baudoinia_panamericana	GCF_000338955.1
Beauveria_bassiana	GCA_001682635.1
Beauveria_brongniartii	GCA_001636735.1
Bifiguratus_adelaidae	GCA_002261195.1
Bimuria_novae-zelandiae	GCA_010015655.1
Bipolaris_maydis	GCA_019454015.1
Bipolaris_oryzae	GCF_000523455.1
Bipolaris_sorokiniana	GCA_013416765.1
Bipolaris_victoriae	GCF_000527765.1
Bipolaris_zeicola	GCF_000523435.1
Blastomyces_dermatitidis	GCA_000151595.1
Blastomyces_gilchristii	GCF_000003855.2
Blastomyces_parvus	GCA_002572885.1
Blastomyces_percursus	GCA_001883805.1
Blastomyces_silverae	GCA_001014755.1
Blastosporella_zonata	GCA_018856295.1
Blumeria_graminis	GCA_000418435.1
Blumeria_hordei	GCA_900237765.1
Boeremia_exigua	GCA_020726555.1
Boletus_edulis	GCA_014925795.1
Boletus_reticuloceps	GCA_018397855.1
Bondarzewia_mesenterica	GCA_004802705.1
Botryobasidium_botryosum	GCA_000697705.1
Botryosphaeria_dothidea	GCA_011503125.2
Botryotinia_calthae	GCA_004379285.1
Botryotinia_convoluta	GCA_004786275.1
Botryotinia_globosa	GCA_014898425.1
Botryotinia_narcissicola	GCA_004786225.1
Botrytis_aclada	GCA_014898285.1
Botrytis_byssoidea	GCF_014898295.1
Botrytis_cinerea	GCF_000143535.2
Botrytis_deweyae	GCF_014898535.1
Botrytis_elliptica	GCA_014898555.1
Botrytis_fragariae	GCF_013461495.1
Botrytis_galanthina	GCA_004916875.1
Botrytis_hyacinthi	GCA_004786245.1
Botrytis_paeoniae	GCA_004786145.1
Botrytis_porri	GCF_014898465.1
