DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	PPO domain count
COLOR	#ff0000

FIELD_COLORS	#1f78b4
FIELD_LABELS	Value

DATA
Aspergillus_fumigatus	3
Aspergillus_niger	3
Debaryomyces_hansenii	0
Trichophyton_equinum	2
Allomyces_macrogynus	0
Trichophyton_tonsurans	2
Puccinia_triticina	0
Blastomyces_dermatitidis	4
Tuber_melanosporum	2
Microbotryum_lychnidis-dioicae	0
Saccharomyces_kudriavzevii	0
Moniliophthora_perniciosa	0
Magnaporthiopsis_poae	2
Serpula_lacrymans	1
Sporisorium_reilianum	0
Leptosphaeria_maculans	2
Edhazardia_aedis	0
Naumovozyma_castellii	0
Glarea_lozoyensis	1
Nematocida_sp_1	0
Saccharomyces_arboricola	0
Taphrina_deformans	0
Colletotrichum_higginsianum	2
Trachipleistophora_hominis	0
Gelatoporia_subvermispora	1
Saccharomyces_cerevisiae_x_Saccharomyces_kudriavzevii	0
Pneumocystis_jirovecii	0
Dothistroma_septosporum	2
Wolfiporia_cocos	1
Fomitopsis_pinicola	3
Candida_maltosa	0
Penicillium_oxalicum	2
Colletotrichum_orbiculare	3
Fusarium_odoratissimum	2
Nosema_bombycis	0
Anncaliia_algerae	0
Ceratocystis_fimbriata	1
Mucor_circinelloides	0
Ophiostoma_piceae	2
Ashbya_aceris	0
Blumeria_graminis	1
Spraguea_lophii	0
Rozella_allomycis	0
Nosema_apis	0
Pyrenophora_seminiperda	2
Austropuccinia_psidii	0
Sclerotinia_borealis	2
Kwoniella_heveanensis	0
Kwoniella_mangrovensis	0
Penicillium_camemberti	2
Moesziomyces_aphidis	0
Drechslerella_stenobrocha	2
Metarhizium_robertsii	3
Fusarium_graminearum	2
Trichophyton_soudanense	2
Colletotrichum_sublineola	3
Jaapia_argillacea	3
Botryobasidium_botryosum	4
Penicillium_chrysogenum	2
Lichtheimia_corymbifera	0
Stachybotrys_chartarum	0
Stachybotrys_chlorohalonata	1
Scytalidium_sp_3C	1
Pseudogymnoascus_sp_VKM_F-3557	2
Pseudogymnoascus_sp_VKM_F-3808	2
Pseudogymnoascus_sp_VKM_F-3775	2
Pseudogymnoascus_sp_VKM_F-4246	2
Pseudogymnoascus_sp_VKM_F-4281_FW-2241	2
Pseudogymnoascus_sp_VKM_F-4513_FW-928	2
Pseudogymnoascus_sp_VKM_F-4514_FW-929	2
Pseudogymnoascus_sp_VKM_F-4515_FW-2607	2
Pseudogymnoascus_sp_VKM_F-4516_FW-969	2
Pseudogymnoascus_sp_VKM_F-4517_FW-2822	2
Pseudogymnoascus_sp_VKM_F-103	2
Pseudogymnoascus_sp_VKM_F-4518_FW-2643	2
Pseudogymnoascus_sp_VKM_F-4519_FW-2642	2
Pseudogymnoascus_sp_VKM_F-4520_FW-2644	2
Trametes_cinnabarina	0
Fusarium_avenaceum	2
Acremonium_chrysogenum	1
Penicillium_italicum	2
Erysiphe_necator	2
Trichophyton_rubrum	2
Aspergillus_ustus	0
Metarhizium_guizhouense	3
Valsa_mali	3
Kluyveromyces_dobzhanskii	0
Torrubiella_hemipterigena	1
Hydnomerulius_pinastri	1
Laccaria_amethystina	1
Plicaturopsis_crispa	2
Sphaerobolus_stellatus	4
Suillus_luteus	1
Gymnopus_luxurians	1
Pisolithus_microcarpus	1
Piloderma_croceum	6
Oidiodendron_maius	2
Pisolithus_tinctorius	1
Hebeloma_cylindrosporum	3
Paxillus_rubicundulus	1
Scleroderma_citrinum	1
Tulasnella_calospora	1
Paxillus_involutus	1
Amanita_muscaria	0
Hypholoma_sublateritium	3
Talaromyces_cellulolyticus	1
Phlebiopsis_gigantea	0
Exophiala_sideris	2
Phialophora_americana	3
Cryptococcus_gattii_VGI	0
fungal_sp_11243	0
Cryptococcus_gattii_VGII	0
Cryptococcus_gattii_VGIII	0
Cylindrobasidium_torrendii	0
Fistulina_hepatica	0
Parasitella_parasitica	0
Lichtheimia_ramosa	0
Hirsutella_minnesotensis	2
Zymoseptoria_brevis	4
Thielaviopsis_punctulata	1
Ceratocystis_platani	1
Talaromyces_islandicus	2
Aspergillus_rambellii	3
Aspergillus_ochraceoroseus	3
Trichoderma_harzianum	1
Rhodotorula_toruloides	2
Phaeomoniella_chlamydospora	2
Diaporthe_ampelina	3
Blastomyces_silverae	3
Schizopora_paradoxa	3
Fusarium_fujikuroi	2
Penicillium_brasilianum	2
Trichoderma_parareesei	0
Encephalitozoon_cuniculi	0
Tolypocladium_ophioglossoides	2
Cyberlindnera_jadinii	0
Termitomyces_sp_J132	3
Puccinia_sorghi	0
Verticillium_longisporum	4
Ophiocordyceps_unilateralis	3
Madurella_mycetomatis	1
Escovopsis_weberi	2
Penicillium_nordicum	2
Fusarium_langsethiae	1
Talaromyces_verruculosus	1
Neonectria_ditissima	3
Saccharomyces_boulardii	0
Kluyveromyces_marxianus	0
Pseudoloma_neurophilia	0
Rosellinia_necatrix	2
Moniliophthora_roreri	2
Sanghuangporus_baumii	2
Aspergillus_calidoustus	4
Penicillium_freii	2
Rhodotorula_sp_JG-1b	1
Colletotrichum_nymphaeae	3
Colletotrichum_salicis	3
Colletotrichum_simmondsii	3
Leucoagaricus_sp_SymCcos	1
Microdochium_bolleyi	1
Gonapodya_prolifera	0
Pseudocercospora_musae	3
Pseudocercospora_eumusae	3
Acidomyces_sp_richmondensis	1
Peltaster_fructicola	2
Rhizophagus_irregularis	0
