ID	Kingdom	Phylum	Fungal_Class	Order	Family	Genus
Aaosphaeria_arxii	Fungi	Ascomycota	Dothideomycetes	Pleosporales		Aaosphaeria
Absidia_glauca	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Cunninghamellaceae	Absidia
Absidia_repens	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Cunninghamellaceae	Absidia
Acaromyces_ingoldii	Fungi	Basidiomycota	Exobasidiomycetes	Exobasidiales	Cryptobasidiaceae	Acaromyces
Acaulospora_colombiana	Fungi	Mucoromycota	Glomeromycetes	Diversisporales	Acaulosporaceae	Acaulospora
Acaulospora_morrowiae	Fungi	Mucoromycota	Glomeromycetes	Diversisporales	Acaulosporaceae	Acaulospora
Acephala_macrosclerotiorum	Fungi	Ascomycota	Leotiomycetes	Helotiales	Mollisiaceae	Acephala
Acidomyces_sp_richmondensis	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Acidomyces
Acremonium_chrysogenum	Fungi	Ascomycota	Sordariomycetes	Hypocreales		Acremonium
Actinomortierella_ambigua	Fungi	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Actinomortierella
Actinomortierella_wolfii	Fungi	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Actinomortierella
Agaricus_bisporus	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus
Agrocybe_aegerita	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Agrocybe
Agrocybe_pediades	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Agrocybe
Akanthomyces_lecanii	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Akanthomyces
Allomyces_macrogynus	Fungi	Blastocladiomycota	Blastocladiomycetes	Blastocladiales	Blastocladiaceae	Allomyces
Alternaria_alternata	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
Alternaria_arborescens	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
Alternaria_atra	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
Alternaria_burnsii	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
Alternaria_gaisen	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
Alternaria_panax	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
Alternaria_rosae	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
Alternaria_sp_MG1	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
Alternaria_tenuissima	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
Amanita_brunnescens	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita
Amanita_inopinata	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita
Amanita_muscaria	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita
Amanita_polypyramis	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita
Amanita_rubescens	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita
Amanita_thiersii	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita
Ambispora_gerdemannii	Fungi	Mucoromycota	Glomeromycetes	Archaeosporales	Ambisporaceae	Ambispora
Ambispora_leptoticha	Fungi	Mucoromycota	Glomeromycetes	Archaeosporales	Ambisporaceae	Ambispora
Amniculicola_lignicola	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Amniculicolaceae	Amniculicola
Amorphotheca_resinae	Fungi	Ascomycota	Leotiomycetes		Myxotrichaceae	Amorphotheca
Ampelomyces_quisqualis	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Ampelomyces
Amylocarpus_encephaloides	Fungi	Ascomycota	Leotiomycetes	Helotiales		Amylocarpus
Anaeromyces_robustus	Fungi	Chytridiomycota	Neocallimastigomycetes	Neocallimastigales	Neocallimastigaceae	Anaeromyces
Anncaliia_algerae	Fungi	Microsporidia			Tubulinosematidae	Anncaliia
Antrodiella_citrinella	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Steccherinaceae	Antrodiella
Apiotrichum_porosum	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Apiotrichum
Aplosporella_prunicola	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Aplosporellaceae	Aplosporella
Apophysomyces_ossiformis	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Apophysomyces
Apophysomyces_sp_BC1015	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Apophysomyces
Apophysomyces_sp_BC1021	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Apophysomyces
Apophysomyces_sp_BC1034	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Apophysomyces
Armillaria_gallica	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Armillaria
Armillaria_ostoyae	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Armillaria
